,flux_bb,flux_bb_lolim,flux_bb_hilim,flux_brems,flux_brems_hilim,flux_brems_lolim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,photflux_aper,photflux_aper_lolim,photflux_aper_hilim,flux_aper,flux_aper_lolim,flux_aper_hilim,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s
285,2.224e-12,2.177e-12,2.269e-12,2.27e-12,2.319e-12,2.206e-12,2.292e-12,2.243e-12,2.337e-12,0.00026234925,0.00025669875,0.00026797474999999996,1.2571150000000001e-12,1.2312825e-12,1.2826725e-12,0.0006187,0.000376,4.85e-05,,6.197e-06,0.0006073,0.0003685,4.608e-05,,4.915e-06,0.0006301,0.0003834,5.092e-05,,7.479e-06,2.498e-12,2.399e-12,1.144e-13,,1.706e-14,2.452e-12,2.351e-12,1.086e-13,,1.353e-14,2.543e-12,2.447e-12,1.201e-13,,2.059e-14
286,,,,,,,,,,4.43038e-06,3.8724599999999995e-06,5.08982e-06,2.688375e-14,2.3617999999999998e-14,3.005725e-14,1.238e-05,6.552e-06,2.496e-06,,7.239e-07,1.113e-05,5.695e-06,2.064e-06,,4.733e-07,1.362e-05,7.409e-06,2.927e-06,5.186e-07,9.745e-07,5.352e-14,4.659e-14,6.342e-15,,1.083e-15,4.809e-14,4.043e-14,5.244e-15,,7.08e-16,5.895e-14,5.238e-14,7.441e-15,,1.458e-15
287,2.736e-12,2.342e-12,2.935e-12,2.916e-12,3.069e-12,2.679e-12,2.757e-12,2.333e-12,2.957e-12,0.0001547749,0.00014734318000000001,0.0001620266,1.3919338e-12,1.33030104e-12,1.4519686e-12,0.0004061,0.000358,6.636e-06,2.377e-06,7.615e-07,0.0003891,0.0003419,4.924e-06,6.162e-07,1.757e-07,0.0004231,0.0003732,8.349e-06,4.137e-06,1.347e-06,3.455e-12,3.482e-12,2.009e-14,1.225e-15,1.354e-15,3.311e-12,3.325e-12,1.491e-14,2.827e-16,3.125e-16,3.6e-12,3.63e-12,2.528e-14,2.167e-15,2.396e-15
288,1.303e-11,1.283e-11,1.32e-11,1.269e-11,1.33e-11,1.074e-11,1.325e-11,1.302e-11,1.343e-11,0.0008706288,0.0008391542,0.0009020839999999998,8.458242e-12,7.5959e-12,9.320532e-12,0.002309,0.001636,3.089e-05,0.0003684,8.854e-06,0.002281,0.001617,2.857e-05,0.0002622,7.001e-06,0.002336,0.001656,3.321e-05,0.0004745,1.071e-05,1.394e-11,1.403e-11,8.926e-14,1.421e-11,2.195e-14,1.377e-11,1.386e-11,8.257e-14,1.025e-11,1.693e-14,1.41e-11,1.42e-11,9.595e-14,1.818e-11,2.671e-14
289,6.888e-13,6.314e-13,7.176e-13,7.271e-13,9.759e-13,5.062e-13,7.685e-13,7.453e-13,7.908e-13,0.000203454,0.00019487600000000002,0.00021160199999999997,3.8112000000000005e-13,3.5661e-13,4.0533999999999997e-13,0.0005714,3.766e-05,0.0001581,2.651e-05,0.0002236,0.0005569,3.394e-05,0.0001521,1.644e-05,0.000215,0.0005851,4.115e-05,0.000164,3.606e-05,0.0002317,8.831e-13,1.746e-13,3.688e-13,1.394e-13,3.397e-13,8.599e-13,1.577e-13,3.546e-13,8.425e-14,3.266e-13,9.064e-13,1.915e-13,3.821e-13,1.946e-13,3.521e-13
290,,,,,,,,,,2.3894e-07,2.1154e-08,2.0533e-06,5.945e-16,9.39e-17,1.7485e-15,7.242e-07,,4.705e-07,,,3.149e-08,,7.428e-08,,,1.385e-06,3.606e-07,8.666e-07,7.241e-06,4.133e-07,,,1.189e-15,,,,,1.878e-16,,,1.306e-15,,2.191e-15,,
291,,,,,,,,,,2.7718e-07,1.2464e-07,4.0647e-06,5.412333333333333e-16,1.3761666666666666e-16,1.3026666666666666e-15,9.466e-07,,4.393e-07,,,4.235e-07,,1.997e-07,,,1.445e-06,3.44e-07,6.79e-07,1.764e-05,2.155e-07,8.183e-16,,8.054e-16,,,7.115e-17,,3.417e-16,,,1.565e-15,1.098e-15,1.245e-15,,
292,,,,,,,,,,1.4612199999999999e-05,1.2078e-05,1.89576e-05,2.7093500000000002e-14,2.179475e-14,3.22475e-14,4.403e-05,6.081e-06,1.291e-05,,1.004e-05,3.813e-05,4.194e-06,1.065e-05,,7.416e-06,4.994e-05,7.863e-06,1.517e-05,9.305e-06,1.251e-05,5.321e-14,2.438e-14,2.113e-14,,9.654e-15,4.595e-14,1.668e-14,1.742e-14,,7.129e-15,6.047e-14,3.166e-14,2.483e-14,,1.203e-14
293,6.05e-14,5.292e-14,6.736e-14,7.968e-14,8.642e-14,6.938e-14,8.022e-14,7.279e-14,8.779e-14,1.8956e-05,1.334e-05,2.4572000000000005e-05,3.6466e-14,3.286e-14,1.02074e-13,4.202e-05,1.008e-05,1.031e-05,2.102e-05,1.135e-05,3.902e-05,8.818e-06,9.19e-06,,9.672e-06,4.502e-05,1.135e-05,1.143e-05,4.203e-05,1.303e-05,9.005e-14,6.024e-14,2.003e-14,,1.201e-14,8.355e-14,5.267e-14,1.786e-14,,1.022e-14,9.655e-14,6.781e-14,2.221e-14,3.1e-13,1.38e-14
294,,,,,,,,,,3.3759999999999995e-06,2.26006e-06,4.4866e-06,7.5386e-15,5.754600000000001e-15,9.40582e-15,7.329e-06,1.226e-06,1.904e-06,3.736e-06,2.685e-06,6.159e-06,7.759e-07,1.442e-06,8.894e-07,2.034e-06,8.498e-06,1.652e-06,2.365e-06,6.582e-06,3.336e-06,1.835e-14,1.001e-14,4.581e-15,,4.752e-15,1.539e-14,6.331e-15,3.47e-15,,3.582e-15,2.13e-14,1.348e-14,5.691e-15,6.361e-16,5.922e-15
